Date,S_DQ_ADJCLOSE
2015-12-21,0.0017478307234676778
2015-12-22,0.0015489588368361956
2015-12-23,0.0010319269041407857
2015-12-24,0.0019278214427916262
2015-12-25,0.0013024191773769367
2015-12-28,0.0019689176843523943
2015-12-29,0.002141738955241852
2015-12-30,0.0013987297210484523
2015-12-31,0.0011847123350781014
2016-01-04,0.0008021211559258688
2016-01-05,0.003289828318833797
2016-01-06,0.0032919721946752163
2016-01-07,0.00019375087610339837
2016-01-08,0.01934937601313238
2016-01-11,0.0022153024750899224
2016-01-12,0.006107871999675449
2016-01-13,0.0017715092859290683
2016-01-14,0.004451165628103424
2016-01-15,0.002846451637800612
2016-01-18,0.004623778330192492
2016-01-19,0.002946432784044941
2016-01-20,0.0009298822217645779
2016-01-21,0.00376206926408577
2016-01-22,0.0018882580662148802
