Datetime,long,cash
2015-11-18 00:00:00+00:00,0.0,8055816.840550011
2015-11-19 00:00:00+00:00,0.0,7842228.793300012
2015-11-20 00:00:00+00:00,0.0,7725233.817160013
2015-11-23 00:00:00+00:00,0.0,7597327.554340013
2015-11-24 00:00:00+00:00,0.0,7514792.5937200105
2015-11-25 00:00:00+00:00,0.0,7546879.099360011
2015-11-26 00:00:00+00:00,0.0,7437022.278160012
2015-11-27 00:00:00+00:00,0.0,7898523.34000001
2015-11-30 00:00:00+00:00,0.0,7813504.346080012
2015-12-01 00:00:00+00:00,0.0,7795873.474780011
2015-12-02 00:00:00+00:00,0.0,8147471.413630011
2015-12-03 00:00:00+00:00,0.0,8175078.294880011
2015-12-04 00:00:00+00:00,0.0,8235639.431680012
2015-12-07 00:00:00+00:00,0.0,8201380.388800013
2015-12-08 00:00:00+00:00,0.0,8176298.544160008
2015-12-09 00:00:00+00:00,0.0,8101749.000160008
2015-12-10 00:00:00+00:00,0.0,7873424.784910009
2015-12-11 00:00:00+00:00,0.0,7874208.837460008
2015-12-14 00:00:00+00:00,0.0,8204715.409060009
2015-12-15 00:00:00+00:00,0.0,8053336.078210009
2015-12-16 00:00:00+00:00,0.0,8088710.877010006
2015-12-17 00:00:00+00:00,0.0,8002968.142060007
2015-12-18 00:00:00+00:00,0.0,8013493.011610007
2015-12-21 00:00:00+00:00,0.0,8198047.024210008
2015-12-22 00:00:00+00:00,0.0,8200348.997860008
2015-12-23 00:00:00+00:00,0.0,8198142.153310007
2015-12-24 00:00:00+00:00,0.0,8269306.6401100075
2015-12-25 00:00:00+00:00,0.0,8320635.564310008
2015-12-28 00:00:00+00:00,0.0,8256835.005760012
2015-12-29 00:00:00+00:00,0.0,8168332.986010012
2015-12-30 00:00:00+00:00,0.0,8157243.593260015
2015-12-31 00:00:00+00:00,0.0,8019274.486510019
2016-01-04 00:00:00+00:00,0.0,8603343.491860019
2016-01-05 00:00:00+00:00,0.0,8628809.490670022
2016-01-06 00:00:00+00:00,0.0,8603222.96254002
2016-01-07 00:00:00+00:00,0.0,8598576.29278002
2016-01-08 00:00:00+00:00,0.0,8555330.412340017
2016-01-11 00:00:00+00:00,0.0,8683602.957340017
2016-01-12 00:00:00+00:00,0.0,8782691.531740017
2016-01-13 00:00:00+00:00,0.0,8882198.984770017
2016-01-14 00:00:00+00:00,0.0,8736571.331380015
2016-01-15 00:00:00+00:00,0.0,8841272.643220017
2016-01-18 00:00:00+00:00,0.0,8630192.984920017
2016-01-19 00:00:00+00:00,0.0,8396271.08182002
2016-01-20 00:00:00+00:00,0.0,8490035.29402002
2016-01-21 00:00:00+00:00,0.0,8230274.257780018
2016-01-22 00:00:00+00:00,0.0,8260347.756340018
2016-01-25 00:00:00+00:00,0.0,8252093.662480019
2016-01-26 00:00:00+00:00,0.0,8678754.322840018
2016-01-27 00:00:00+00:00,0.0,8748419.32204002
2016-01-28 00:00:00+00:00,0.0,8850568.58404002
2016-01-29 00:00:00+00:00,0.0,8933971.083040018
2016-02-01 00:00:00+00:00,0.0,8937641.57464002
2016-02-02 00:00:00+00:00,0.0,8938231.350040022
2016-02-03 00:00:00+00:00,0.0,8953266.720640019
2016-02-04 00:00:00+00:00,0.0,8953266.720640019
2016-02-05 00:00:00+00:00,0.0,8883074.077240016
2016-02-15 00:00:00+00:00,0.0,8814720.115240015
2016-02-16 00:00:00+00:00,0.0,8810079.804520013
2016-02-17 00:00:00+00:00,0.0,8729603.758870013
2016-02-18 00:00:00+00:00,0.0,8729603.758870013
2016-02-19 00:00:00+00:00,0.0,8672501.370910011
2016-02-22 00:00:00+00:00,0.0,8736705.531940011
2016-02-23 00:00:00+00:00,0.0,8787276.338350013
2016-02-24 00:00:00+00:00,0.0,8637753.009250013
2016-02-25 00:00:00+00:00,0.0,8599226.054230016
2016-02-26 00:00:00+00:00,0.0,8614818.989830015
2016-02-29 00:00:00+00:00,0.0,8614818.989830015
2016-03-01 00:00:00+00:00,0.0,8569181.155510016
2016-03-02 00:00:00+00:00,0.0,8792982.275020014
2016-03-03 00:00:00+00:00,0.0,8721500.792890016
2016-03-04 00:00:00+00:00,0.0,8815623.735190017
